model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,with_wsi_solar,12,5177.5,1766.8306,-3410.66943359375,3410.66943359375,11632665.985250711,65.87483213108956,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,13,10991.0,1799.0289,-9191.971069335938,9191.971069335938,84492332.13950886,83.631799375194,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,14,16357.25,1802.5651,-14554.684936523438,14554.684936523438,211838853.60146224,88.98002376019527,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,15,19535.0,1800.1812,-17734.81884765625,17734.81884765625,314523799.55918336,90.78484181032593,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,16,19467.5,1787.0189,-17680.481079101562,17680.481079101562,312599411.18846834,90.82050124100414,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,17,16932.0,1790.6063,-15141.393676757812,15141.393676757812,229261802.47456145,89.42472050997442,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,18,12818.75,1789.4823,-11029.267700195312,11029.267700195312,121644746.0025716,86.04011857776077,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,19,6676.75,1827.4133,-4849.336669921875,4849.336669921875,23516066.13824898,72.63019687594432,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,20,1359.75,1757.4637,397.7137451171875,397.7137451171875,158176.22305513918,29.249034389723306,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,21,49.0,1784.655,1735.655029296875,1735.655029296875,3012498.380723536,3542.1531202911424,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,22,25.5,1750.3151,1724.8150634765625,1724.8150634765625,2974987.0031956583,6763.980638432016,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,23,17.75,1759.7292,1741.979248046875,1741.979248046875,3034491.700625956,9813.967589101285,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
