model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,info_mae,info_rmse,info_r2
random_forest,no_wsi_wind,20,21086.0,15357.099499202192,-5728.9005007978085,5728.9005007978085,32820300.94804138,27.1692141743104,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,21,25233.75,19875.35227740242,-5358.39772259758,5358.39772259758,28712426.153538927,21.235043236124064,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,22,27759.75,20139.470306720323,-7620.279693279677,7620.279693279677,58068662.603810616,27.450822479586208,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,23,29930.0,21369.170650980956,-8560.829349019044,8560.829349019044,73287799.14302583,28.60283778488534,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,24,30683.0,23692.805472506665,-6990.194527493335,6990.194527493335,48862819.532197766,22.781978709679812,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,25,29967.25,25728.45352383034,-4238.79647616966,4238.79647616966,17967395.56638833,14.14476295345167,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,26,29288.0,25623.71248816115,-3664.287511838851,3664.287511838851,13427002.969418159,12.51122477409724,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,27,29527.5,25884.68374492522,-3642.81625507478,3642.81625507478,13270110.268237047,12.337029057907193,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,28,28642.75,25680.59704461858,-2962.1529553814216,2962.1529553814216,8774350.13107489,10.34171982571641,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,29,28022.5,25281.413762692173,-2741.086237307827,2741.086237307827,7513553.760358381,9.781733383198675,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,30,27148.25,25120.758890938923,-2027.4911090610767,2027.4911090610767,4110720.197321715,7.468220268563646,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,31,25185.0,25465.05258236207,280.0525823620701,280.0525823620701,78429.44888766405,1.111981665125904,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,32,26025.0,23569.8682302177,-2455.1317697822997,2455.1317697822997,6027672.006994367,9.433743591859198,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,33,26061.5,20725.194325677792,-5336.305674322208,5336.305674322208,28476158.249803394,20.475819405330313,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,34,24426.0,19360.606702679266,-5065.393297320734,5065.393297320734,25658209.256541815,20.73771103462974,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,35,22554.75,18484.288662067098,-4070.461337932902,4070.461337932902,16568655.503606511,18.047024852552553,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,36,21445.75,18782.868515824448,-2662.881484175552,2662.881484175552,7090937.798764991,12.416826103886832,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,37,19464.5,18149.48099775572,-1315.0190022442803,1315.0190022442803,1729274.9762635424,6.755986551124378,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,38,17619.0,16704.47202292153,-914.5279770784691,914.5279770784691,836361.420859237,5.190578222815994,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,39,16527.0,16265.955253864198,-261.0447461358017,261.0447461358017,68144.35948510515,1.5795047264212727,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,40,14395.75,15133.35926073926,737.6092607392602,737.6092607392602,544067.421528318,5.123798765182417,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,41,12112.0,13638.54006810551,1526.5400681055107,1526.5400681055107,2330324.5795315774,12.60353424788846,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
