model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_batch_size,param_dropout,param_learning_rate,param_max_steps,param_mlp_units_choice,param_n_blocks_choice,info_mae,info_rmse,info_r2
nhits,no_wsi_solar,14,16961.75,9043.339,-7918.4111328125,7918.4111328125,62701234.86824894,46.68392785418858,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,15,19204.5,10549.783,-8654.716796875,8654.716796875,74904122.83411026,45.06608761941469,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,16,19226.75,11608.563,-7618.1865234375,7618.1865234375,58036765.90588474,39.62285109773382,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,17,16628.25,11321.986,-5306.263671875,5306.263671875,28156434.155460358,31.911137202482575,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,18,11987.5,9288.371,-2699.12890625,2699.12890625,7285296.852554321,22.516195255455667,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,19,6483.25,7047.451,564.201171875,564.201171875,318322.9623451233,8.702443556459025,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,20,1612.0,4294.4995,2682.49951171875,2682.49951171875,7195803.630371332,166.40815829417554,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,21,46.75,2070.2104,2023.46044921875,2023.46044921875,4094392.1895525455,4328.25764446187,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,22,24.5,399.5952,375.09521484375,375.09521484375,140696.42019867897,1531.000876288367,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,23,23.25,-364.7793,-388.029296875,388.029296875,150566.73523330688,1668.943211647766,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,24,23.25,-194.27588,-217.52587890625,217.52587890625,47317.50799393654,935.5951776889914,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,25,18.75,-25.099121,-43.84912109375,43.84912109375,1922.7454206943512,233.8619790419403,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,26,18.5,93.78516,75.28515625,75.28515625,5667.854751586914,406.9467903205693,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,27,17.5,144.62646,127.12646484375,127.12646484375,16161.138063669205,726.4369415491789,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,28,17.75,270.104,252.35400390625,252.35400390625,63682.54328751564,1421.7126972624153,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,29,18.25,7.9125977,-10.33740234375,10.33740234375,106.861887216568,56.64330048266121,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,30,18.75,-359.7954,-378.54541015625,378.54541015625,143296.62755036354,2018.9088530899153,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,31,17.25,-576.3096,-593.5595703125,593.5595703125,352312.96350955963,3440.9250432951153,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,32,18.25,-906.76465,-925.0146484375,925.0146484375,855652.0998239517,5068.57341331859,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,33,18.5,-676.7798,-695.27978515625,695.27978515625,483413.97964692116,3758.269106921206,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,34,36.5,414.7207,378.220703125,378.220703125,143050.90027236938,1036.2211041681587,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,35,1494.25,2062.0308,567.78076171875,567.78076171875,322374.99337792397,37.99770866420949,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,36,5695.5,4049.2173,-1646.28271484375,1646.28271484375,2710246.777193308,28.904972607161085,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,37,10581.5,6616.799,-3964.701171875,3964.701171875,15718855.382266998,37.46823391646981,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,38,14843.75,9330.311,-5513.439453125,5513.439453125,30398014.6032753,37.143171052606554,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
