model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,info_mae,info_rmse,info_r2
random_forest,with_wsi_wind,1476,2024-12-20 06:00:00,36565.0,31833.278311778497,-4731.721688221503,4731.721688221503,22389190.134785756,12.940576201887623,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1477,2024-12-20 07:00:00,34306.5,29473.28325033301,-4833.21674966699,4833.21674966699,23359984.14926154,14.088341129714724,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1478,2024-12-20 08:00:00,33847.0,27631.633828615824,-6215.366171384176,6215.366171384176,38630776.64438678,18.36312279192348,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1479,2024-12-20 09:00:00,33082.25,27407.125220120164,-5675.124779879836,5675.124779879836,32207041.267206155,17.154591298590997,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1480,2024-12-20 10:00:00,33200.0,27580.349493266545,-5619.650506733455,5619.650506733455,31580471.81782957,16.926658152806514,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1481,2024-12-20 11:00:00,33313.5,27433.174672806366,-5880.325327193634,5880.325327193634,34578225.95363492,17.65147861134936,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1482,2024-12-20 12:00:00,32231.5,27958.19903565471,-4273.30096434529,4273.30096434529,18261101.131874382,13.258151076878097,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1483,2024-12-20 13:00:00,31184.5,27115.34426797794,-4069.15573202206,4069.15573202206,16558028.371447986,13.048648309322756,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1484,2024-12-20 14:00:00,31961.25,26167.28845040377,-5793.961549596232,5793.961549596232,33569990.438199565,18.12808181655729,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1485,2024-12-20 15:00:00,33718.0,26708.45608020575,-7009.5439197942505,7009.5439197942505,49133705.96352455,20.78872981728505,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1486,2024-12-20 16:00:00,35134.0,28907.16893544996,-6226.831064550039,6226.831064550039,38773425.10644537,17.723091775910135,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1487,2024-12-20 17:00:00,35960.75,30192.128367864763,-5768.621632135237,5768.621632135237,33276995.534738604,16.041438602180524,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1488,2024-12-20 18:00:00,36462.25,31649.55153292887,-4812.698467071132,4812.698467071132,23162066.534948826,13.19912640352642,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1489,2024-12-20 19:00:00,36903.25,32611.659823766506,-4291.590176233494,4291.590176233494,18417746.240743835,11.629301419881262,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
