model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_d,param_p,param_q,param_trend,info_mae,info_rmse,info_r2
sarimax,with_wsi_wind,311,2024-11-01 17:00:00,18518.75,16183.962762052432,-2334.7872379475684,2334.7872379475684,5451231.446482835,12.60769348874145,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,312,2024-11-01 18:00:00,19568.75,17044.740531487427,-2524.009468512573,2524.009468512573,6370623.797141123,12.8981640038903,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,313,2024-11-01 19:00:00,19716.0,18508.38122236553,-1207.618777634474,1207.618777634474,1458343.1120953814,6.12506988047201,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,314,2024-11-01 20:00:00,19530.25,19062.00715604359,-468.24284395641007,468.24284395641007,219251.360916387,2.397526114392649,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,315,2024-11-01 21:00:00,18062.0,20277.74505927153,2215.745059271532,2215.745059271532,4909526.167686206,12.26744025728217,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,316,2024-11-01 22:00:00,16130.75,19693.969040994794,3563.2190409947943,3563.2190409947943,12696529.934107862,22.08960551116709,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,317,2024-11-01 23:00:00,14054.25,18075.316725249264,4021.066725249264,4021.066725249264,16168977.60890684,28.61103741036628,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,318,2024-11-02 00:00:00,12669.25,17444.200547928318,4774.950547928318,4774.950547928318,22800152.735160943,37.68929137813642,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,319,2024-11-02 01:00:00,12409.5,15579.974466055652,3170.474466055653,3170.474466055653,10051908.339910882,25.5487688146428,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,320,2024-11-02 02:00:00,12072.5,13651.835166970646,1579.3351669706462,1579.3351669706462,2494299.569630199,13.082088771748502,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,321,2024-11-02 03:00:00,11224.5,12404.555994651437,1180.0559946514368,1180.0559946514368,1392532.1505127917,10.513216576688365,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,322,2024-11-02 04:00:00,9769.25,11960.375753993005,2191.125753993003,2191.125753993003,4801032.069811406,22.428802149507483,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,323,2024-11-02 05:00:00,8049.0,10270.770820380654,2221.770820380654,2221.770820380654,4936265.578294925,27.603066472579123,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,324,2024-11-02 06:00:00,5733.5,9201.928876283047,3468.4288762830474,3468.4288762830474,12029998.869834084,60.494093943960905,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,325,2024-11-02 07:00:00,3289.25,7211.964267456151,3922.714267456151,3922.714267456151,15387687.224104049,119.25862331669,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,326,2024-11-02 08:00:00,2000.75,7261.251099293578,5260.501099293578,5260.501099293578,27672871.81566894,262.9264575417861,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,327,2024-11-02 09:00:00,1484.75,6883.576851780814,5398.826851780814,5398.826851780814,29147331.37550953,363.6185790028255,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,328,2024-11-02 10:00:00,1432.75,5814.098819215194,4381.348819215194,4381.348819215194,19196217.47563838,305.79995248191346,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,329,2024-11-02 11:00:00,1589.5,4805.960193424697,3216.4601934246966,3216.4601934246966,10345616.175885636,202.35672811604036,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,330,2024-11-02 12:00:00,1729.25,5057.208145356824,3327.9581453568244,3327.9581453568244,11075305.417246832,192.45095534697583,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,331,2024-11-02 13:00:00,1743.75,4893.270285943991,3149.5202859439905,3149.5202859439905,9919478.031572716,180.61765080578803,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
