model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,param_subsample,info_mae,info_rmse,info_r2
catboost,with_wsi_wind,19,18144.75,12711.487818654998,-5433.262181345002,5433.262181345002,29520337.931233853,29.943990307620705,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,20,21086.0,14543.80713218916,-6542.19286781084,6542.19286781084,42800287.51963502,31.02623953242785,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,21,25233.75,15942.258358409175,-9291.491641590825,9291.491641590825,86331816.92575216,36.82168382260719,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,22,27759.75,20267.795320122103,-7491.954679877897,7491.954679877897,56129384.925344326,26.988552418070043,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,23,29930.0,26421.695065270724,-3508.3049347292763,3508.3049347292763,12308203.515045792,11.721700416732723,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,24,30683.0,27419.815116358637,-3263.184883641363,3263.184883641363,10648375.584825495,10.635155896230158,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,25,29967.25,26701.279249688712,-3265.9707503112877,3265.9707503112877,10666564.941888876,10.898466660471675,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,26,29288.0,26151.78246619583,-3136.2175338041707,3136.2175338041707,9835860.419340715,10.708199719349562,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,27,29527.5,25063.240462542723,-4464.2595374572775,4464.2595374572775,19929613.217778265,15.118989204828601,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,28,28642.75,24703.0638793515,-3939.686120648501,3939.686120648501,15521126.729230436,13.75456658542607,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
