model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,param_subsample,info_mae,info_rmse,info_r2
catboost,no_wsi_wind,1025,2024-12-01 11:00:00,8343.0,13070.69764007987,4727.69764007987,4727.69764007987,22351124.97601677,56.66663838036921,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1026,2024-12-01 12:00:00,9482.5,14788.07315793889,5305.57315793889,5305.57315793889,28149106.53424165,55.9512065165652,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1027,2024-12-01 13:00:00,13218.5,14919.089833250626,1700.5898332506258,1700.5898332506258,2892005.7809553915,12.865225504023444,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1028,2024-12-01 14:00:00,19672.5,15529.788599342322,-4142.711400657678,4142.711400657678,17162057.749139097,21.05838810855545,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1029,2024-12-01 15:00:00,23874.25,17176.761766770775,-6697.488233229225,6697.488233229225,44856348.634243935,28.05318798800557,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1030,2024-12-01 16:00:00,26490.0,21519.766686513067,-4970.233313486933,4970.233313486933,24703219.190495297,18.76267766510025,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1031,2024-12-01 17:00:00,27856.5,22864.66968245024,-4991.83031754976,4991.83031754976,24918369.91920894,17.919804417453623,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1032,2024-12-01 18:00:00,29231.0,24044.84943916081,-5186.150560839189,5186.150560839189,26896157.639692634,17.741953955859923,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1033,2024-12-01 19:00:00,29587.0,25735.4827135323,-3851.5172864677006,3851.5172864677006,14834185.40795952,13.017599913699932,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1034,2024-12-01 20:00:00,28423.25,25907.170924632883,-2516.079075367117,2516.079075367117,6330653.913500248,8.852186415579611,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
