model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_d,param_p,param_q,param_trend,info_mae,info_rmse,info_r2
sarimax,no_wsi_solar,1408,2024-12-17 10:00:00,5824.75,13815.29669289367,7990.546692893669,7990.546692893669,63848836.45131396,137.1826549273351,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1409,2024-12-17 11:00:00,4686.25,12746.065279645038,8059.815279645038,8059.815279645038,64960622.34199962,171.98858958928437,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1410,2024-12-17 12:00:00,2710.75,11137.646424549608,8426.896424549608,8426.896424549608,71012583.35008697,310.8695536113076,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1411,2024-12-17 13:00:00,799.25,8773.41092941274,7974.160929412739,7974.160929412739,63587242.52817264,997.705465037594,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1412,2024-12-17 14:00:00,34.0,5447.206747227576,5413.206747227576,5413.206747227576,29302807.28823015,15921.196310692518,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1413,2024-12-17 15:00:00,22.25,2032.8612617366896,2010.6112617366896,2010.6112617366896,4042557.645822404,9036.455104867617,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1414,2024-12-17 16:00:00,13.0,-1185.4704725637966,-1198.4704725637966,1198.4704725637966,1436331.47360729,9219.003628014589,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1415,2024-12-17 17:00:00,7.0,-3489.1419968604314,-3496.1419968604314,3496.1419968604314,12223008.862211244,49944.8855980849,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1416,2024-12-17 18:00:00,6.75,-5569.361609329199,-5576.111609329199,5576.111609329199,31093020.679695863,82609.0607565673,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1417,2024-12-17 19:00:00,6.75,-6780.361965091854,-6787.111965091854,6787.111965091854,46064888.826693,100549.80674128702,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1418,2024-12-17 20:00:00,6.5,-7644.179813938359,-7650.679813938359,7650.679813938359,58532901.61540388,117702.76618720128,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1419,2024-12-17 21:00:00,6.5,-7483.469286011692,-7489.969286011692,7489.969286011692,56099639.905398495,115230.2965305948,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1420,2024-12-17 22:00:00,7.0,-7126.089825258818,-7133.089825258818,7133.089825258818,50880970.45521087,101901.28307240986,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1421,2024-12-17 23:00:00,6.0,-6141.7545181613605,-6147.7545181613605,6147.7545181613605,37794885.61557342,102462.57513191838,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1422,2024-12-18 00:00:00,6.5,-4512.260088978608,-4518.760088978608,4518.760088978608,20419192.74174596,69519.38587733338,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1423,2024-12-18 01:00:00,6.5,-2298.703638927216,-2305.203638927216,2305.203638927216,5313963.816923279,35464.67131354999,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1424,2024-12-18 02:00:00,6.0,245.9324977104443,239.9324977104443,239.9324977104443,57567.60345757235,3998.874955175947,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1425,2024-12-18 03:00:00,6.5,3446.037969321178,3439.537969321178,3439.537969321178,11830421.442402054,52915.96867737817,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1426,2024-12-18 04:00:00,6.5,5486.956637890602,5480.456637890602,5480.456637890602,30035404.95979916,84314.71737629431,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
