model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_batch_size,param_dropout,param_learning_rate,param_max_steps,param_mlp_units_choice,param_n_blocks_choice,info_mae,info_rmse,info_r2
nhits,with_wsi_solar,1500,2024-12-21 06:00:00,429.25,2382.977,1953.72705078125,1953.72705078125,3817049.388954401,455.1489926000547,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1501,2024-12-21 07:00:00,2635.25,2158.5132,-476.73681640625,476.73681640625,227277.9921171665,18.09076240980708,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1502,2024-12-21 08:00:00,5287.25,1772.4746,-3514.775390625,3514.775390625,12353646.04654312,66.47643653351652,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1503,2024-12-21 09:00:00,6967.0,1287.6797,-5679.3203125,5679.3203125,32254679.211975098,81.51744384228287,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1504,2024-12-21 10:00:00,6805.25,771.8721,-6033.3779296875,6033.3779296875,36401649.24244022,88.65769706739111,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1505,2024-12-21 11:00:00,4817.75,393.15967,-4424.59033203125,4424.59033203125,19576999.606304407,91.83935098380086,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1506,2024-12-21 12:00:00,2421.25,58.06006,-2363.18994140625,2363.18994140625,5584666.699163675,97.60206262866248,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1507,2024-12-21 13:00:00,712.0,-44.254395,-756.25439453125,756.25439453125,571920.7092478275,106.21550484840289,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1508,2024-12-21 14:00:00,37.0,24.148438,-12.8515625,12.8515625,165.16265869140625,34.733952693315146,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1509,2024-12-21 15:00:00,10.25,111.68359,101.43359375,101.43359375,10288.77394104004,989.5960356199062,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1510,2024-12-21 16:00:00,8.25,201.57715,193.3271484375,193.3271484375,37375.38632297516,2343.3593721595644,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
