model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_cnn_filters,param_kernel_size,param_lr,param_lstm_hidden,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
cnn_lstm,no_wsi_solar,12,5695.5,1285.2378,-4410.26220703125,4410.26220703125,19450412.734768152,77.43415340222117,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,13,10581.5,1285.2378,-9296.26220703125,9296.26220703125,86420491.02187753,87.85391680784826,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,14,14843.75,1285.2378,-13558.51220703125,13558.51220703125,183833253.26821542,91.34155592099108,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,15,17403.75,1285.2378,-16118.51220703125,16118.51220703125,259806435.76821542,92.61516746116205,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,16,17662.75,1285.2378,-16377.51220703125,16377.51220703125,268222906.0914576,92.72345590025323,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,17,16252.5,1285.2378,-14967.26220703125,14967.26220703125,224018937.97402596,92.0920609569115,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,18,13279.5,1285.2378,-11994.26220703125,11994.26220703125,143862325.89101815,90.32164017487267,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,19,7840.0,1285.2378,-6554.76220703125,6554.76220703125,42964907.59072518,83.60666080386339,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,20,2150.25,1285.2378,-865.01220703125,865.01220703125,748246.1183130741,40.22844818171037,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,21,62.25,1285.2378,1222.98779296875,1222.98779296875,1495699.141750574,1964.639024533793,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,22,30.0,1285.2378,1255.23779296875,1255.23779296875,1575621.9168970585,4184.125975167791,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,23,18.0,1285.2378,1267.23779296875,1267.23779296875,1605891.6239283085,7040.209957026272,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,24,12.75,1285.2378,1272.48779296875,1272.48779296875,1619225.1832544804,9980.296407613492,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,25,11.25,1285.2378,1273.98779296875,1273.98779296875,1623044.8966333866,11324.335927433922,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,26,8.25,1285.2378,1276.98779296875,1276.98779296875,1630697.823391199,15478.63989601074,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,27,7.25,1285.2378,1277.98779296875,1277.98779296875,1633252.7989771366,17627.417809738046,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,28,7.0,1285.2378,1278.23779296875,1278.23779296875,1633891.855373621,18260.53987346709,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,29,6.25,1285.2378,1278.98779296875,1278.98779296875,1635809.774563074,20463.804654757914,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,30,5.0,1285.2378,1280.23779296875,1280.23779296875,1639008.806545496,25604.755808165486,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,31,5.5,1285.2378,1279.73779296875,1279.73779296875,1637728.8187525272,23267.95982985371,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,32,9.5,1285.2378,1275.73779296875,1275.73779296875,1627506.9164087772,13428.818859219664,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,33,8.5,1285.2378,1276.73779296875,1276.73779296875,1630059.3919947147,15020.444605490653,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,34,20.0,1285.2378,1265.23779296875,1265.23779296875,1600826.6727564335,6326.188961680656,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,35,1177.25,1285.2378,107.98779296875,107.98779296875,11661.363430261612,9.172885365710998,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,36,5028.5,1285.2378,-3743.26220703125,3743.26220703125,14012011.950588465,74.44093083471822,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,37,9846.25,1285.2378,-8561.01220703125,8561.01220703125,73290930.00893807,86.94693113644844,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,38,14111.25,1285.2378,-12826.01220703125,12826.01220703125,164506589.13491464,90.89210528494755,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,39,16349.5,1285.2378,-15064.26220703125,15064.26220703125,226931995.84219003,92.13897799334558,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,40,16945.75,1285.2378,-15660.51220703125,15660.51220703125,245251642.5865748,92.41557444800029,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,41,16258.5,1285.2378,-14973.26220703125,14973.26220703125,224198581.12051034,92.09497928481741,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,42,12562.5,1285.2378,-11277.26220703125,11277.26220703125,127176642.88613534,89.76925139918227,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,43,7026.0,1285.2378,-5740.76220703125,5740.76220703125,32956350.71767831,81.70740402822487,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,44,1804.5,1285.2378,-519.26220703125,519.26220703125,269633.23965096474,28.77596048924203,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,45,70.5,1285.2378,1214.73779296875,1214.73779296875,1475587.9056665897,1723.0323302077259,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,46,41.25,1285.2378,1243.98779296875,1243.98779296875,1547505.6290552616,3015.72798222346,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,47,21.75,1285.2378,1263.48779296875,1263.48779296875,1596401.4029810429,5809.139275346372,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,48,27.75,1285.2378,1257.48779296875,1257.48779296875,1581275.5494654179,4531.487540596761,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,49,21.5,1285.2378,1263.73779296875,1263.73779296875,1597033.2093775272,5877.850197120768,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,50,18.75,1285.2378,1266.48779296875,1266.48779296875,1603991.3297388554,6754.601558897545,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,51,17.5,1285.2378,1267.73779296875,1267.73779296875,1607159.1117212772,7244.215955681877,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,52,15.0,1285.2378,1270.23779296875,1270.23779296875,1613504.050686121,8468.251947479499,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,53,12.25,1285.2378,1272.98779296875,1272.98779296875,1620497.921047449,10391.737076976133,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,54,11.5,1285.2378,1273.73779296875,1273.73779296875,1622407.9652369022,11075.980798792625,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,55,11.5,1285.2378,1273.73779296875,1273.73779296875,1622407.9652369022,11075.980798792625,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,56,9.5,1285.2378,1275.73779296875,1275.73779296875,1627506.9164087772,13428.818859219664,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,57,8.0,1285.2378,1277.23779296875,1277.23779296875,1631336.3797876835,15965.472392152531,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,58,28.75,1285.2378,1256.48779296875,1256.48779296875,1578761.5738794804,4370.392321849429,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,59,1169.75,1285.2378,115.48779296875,115.48779296875,13337.430324792862,9.87286112141592,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,60,5825.0,1285.2378,-4539.76220703125,4539.76220703125,20609440.896389246,77.935831880231,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,61,12044.25,1285.2378,-10759.01220703125,10759.01220703125,115756343.67104745,89.32903424474182,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,62,17493.0,1285.2378,-16207.76220703125,16207.76220703125,262691555.7596705,92.6528451781969,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,63,20481.75,1285.2378,-19196.51220703125,19196.51220703125,368506080.9146998,93.72496103615109,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,64,21225.25,1285.2378,-19940.01220703125,19940.01220703125,397604086.81655526,93.94476958821147,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,65,19152.0,1285.2378,-17866.76220703125,17866.76220703125,319221191.7626002,93.28927635245363,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
