model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,info_mae,info_rmse,info_r2
xgboost,no_wsi_wind,947,2024-11-28 05:00:00,40323.25,42426.332,2103.08203125,2103.08203125,4422954.030166626,5.215556859254844,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,948,2024-11-28 06:00:00,38865.0,39983.145,1118.14453125,1118.14453125,1250247.1927642822,2.876996092241637,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,949,2024-11-28 07:00:00,37674.25,37516.363,-157.88671875,157.88671875,24928.2159576416,0.4190839067797185,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,950,2024-11-28 08:00:00,37516.5,36456.355,-1060.14453125,1060.14453125,1123906.4271392822,2.8258087274924835,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,951,2024-11-28 09:00:00,37646.5,35435.516,-2210.984375,2210.984375,4888451.906494141,5.873014423650042,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,952,2024-11-28 10:00:00,37567.5,35228.258,-2339.2421875,2339.2421875,5472054.011779785,6.226770978902981,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,953,2024-11-28 11:00:00,36731.5,34892.06,-1839.44140625,1839.44140625,3383544.687026977,5.007803673276341,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,954,2024-11-28 12:00:00,35336.25,33801.18,-1535.0703125,1535.0703125,2356440.864318848,4.344180020515945,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,955,2024-11-28 13:00:00,33563.25,31302.777,-2260.47265625,2260.47265625,5109736.629653931,6.734963557609369,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,956,2024-11-28 14:00:00,31718.5,31465.139,-253.361328125,253.361328125,64191.96258926392,0.7987809263518769,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
