model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,info_mae,info_rmse,info_r2
random_forest,no_wsi_solar,1537,2024-12-22 19:00:00,7.75,3.2902984307359304,-4.45970156926407,4.45970156926407,19.88893808689641,57.54453630334988,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1538,2024-12-22 20:00:00,8.0,3.2153787878787883,-4.784621212121212,4.784621212121212,22.89260014348025,59.80776507675544,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1539,2024-12-22 21:00:00,7.5,3.178281385281386,-4.321718614718614,4.321718614718614,18.677251784805375,57.62291478608431,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1540,2024-12-22 22:00:00,6.25,3.176681186868687,-3.073318813131313,3.073318813131313,9.445288527146865,49.173100931424045,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1541,2024-12-22 23:00:00,7.0,3.1654737103174604,-3.83452628968254,3.83452628968254,14.703591866266544,54.77894691720921,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1542,2024-12-23 00:00:00,6.0,3.159612599206349,-2.840387400793651,2.840387400793651,8.067800586587312,47.33978993432786,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1543,2024-12-23 01:00:00,6.5,3.1804092261904766,-3.3195907738095234,3.3195907738095234,11.01968290556131,51.07062721080708,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1544,2024-12-23 02:00:00,6.25,3.2113293650793646,-3.0386706349206354,3.0386706349206354,9.233519227528978,48.6187300809402,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1545,2024-12-23 03:00:00,6.25,3.1764583333333345,-3.073541666666665,3.073541666666665,9.446658376736105,49.17666658798398,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1546,2024-12-23 04:00:00,6.0,7.197709821428571,1.197709821428571,1.197709821428571,1.4345088163464597,19.961830323873134,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1547,2024-12-23 05:00:00,6.75,18.58077335858586,11.83077335858586,11.83077335858586,139.9671982622249,175.27071616383387,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1548,2024-12-23 06:00:00,269.5,271.8167043650793,2.316704365079317,2.316704365079317,5.367119115177564,0.8596305621496677,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1549,2024-12-23 07:00:00,2148.75,2419.70253553391,270.9525355339101,270.9525355339101,73415.27651225483,12.609774777552026,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1550,2024-12-23 08:00:00,4928.75,3232.8351298250363,-1695.9148701749637,1695.9148701749637,2876127.246880564,34.40862024187721,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1551,2024-12-23 09:00:00,7158.25,5551.694434523812,-1606.5555654761883,1606.5555654761883,2581020.784962516,22.44341236299297,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1552,2024-12-23 10:00:00,7368.75,9670.296394345243,2301.5463943452432,2301.5463943452432,5297115.80532359,31.2338781250839,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1553,2024-12-23 11:00:00,5393.75,8177.43316666667,2783.6831666666703,2783.6831666666703,7748891.972383382,51.60942139812765,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1554,2024-12-23 12:00:00,3126.75,4429.262125045091,1302.5121250450911,1302.5121250450911,1696537.8358894791,41.65706004768291,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1555,2024-12-23 13:00:00,981.0,2235.040052895022,1254.0400528950222,1254.0400528950222,1572616.45426495,127.83282903998358,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1556,2024-12-23 14:00:00,45.25,350.34302132936506,305.09302132936506,305.09302132936506,93081.7516638804,674.2387210208645,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1557,2024-12-23 15:00:00,8.75,9.156451388888888,0.4064513888888879,0.4064513888888879,0.1652027315297059,4.645158724849965,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1558,2024-12-23 16:00:00,8.5,5.3817731608669135,-3.1182268391330865,3.1182268391330865,9.72333862028992,36.68502159370099,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1559,2024-12-23 17:00:00,8.0,6.840144345238092,-1.159855654761908,1.159855654761908,1.3452651398831743,14.498195666401106,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1560,2024-12-23 18:00:00,6.5,3.672854693917193,-2.827145306082807,2.827145306082807,7.992750581706048,43.49454310359004,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1561,2024-12-23 19:00:00,6.5,3.7207706529581537,-2.7792293470418463,2.7792293470418463,7.724115763458648,42.75737450409398,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1562,2024-12-23 20:00:00,6.0,3.6378673791486302,-2.3621326208513698,2.3621326208513698,5.579670518490161,39.3688769485747,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1563,2024-12-23 21:00:00,6.25,3.625367875180376,-2.6246321248196245,2.6246321248196245,6.888693790635177,41.99411392992341,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1564,2024-12-23 22:00:00,6.25,3.4932508116883128,-2.7567491883116872,2.7567491883116872,7.599666087257146,44.107986942414215,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
