model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_alpha,param_l1_ratio,param_lags,info_mae,info_rmse,info_r2
lear,with_wsi_wind,15,11319.5,10346.608374577077,-972.8916254229225,972.8916254229225,946518.1148180562,8.594828618066726,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,16,12113.75,11918.89400319366,-194.85599680634004,194.85599680634004,37968.8594913924,1.6085522386228803,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,17,12271.5,12644.56337181239,373.06337181238996,373.06337181238996,139176.2793880295,3.0400796301355655,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,18,11294.75,12055.036667065828,760.2866670658277,760.2866670658277,578035.8161180648,6.731327980390486,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,19,9401.0,10486.65502213315,1085.6550221331509,1085.6550221331509,1178646.8270829322,11.548292970237165,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,20,7503.75,8492.382497111847,988.6324971118465,988.6324971118465,977394.2143456052,13.175179038621076,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,21,6719.75,7162.047552544755,442.2975525447546,442.2975525447546,195627.12498707994,6.582053685689146,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,22,6378.75,6848.54570451741,469.79570451740983,469.79570451740983,220708.00398300946,7.36501202456082,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,23,5569.25,6145.776610426796,576.5266104267957,576.5266104267957,332382.9325302103,10.351961402805774,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,24,4935.5,4766.82327903524,-168.67672096475962,168.67672096475962,28451.83619542338,3.4176217397308855,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,25,5192.75,4372.361805511755,-820.3881944882451,820.3881944882451,673036.7896556826,15.798723113700163,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,26,6015.0,5389.326664510722,-625.6733354892776,625.6733354892776,391467.12274227815,10.401884214268286,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,27,6757.0,6634.303943658174,-122.69605634182608,122.69605634182608,15054.32224183656,1.8158362637508436,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,28,7911.25,7198.311558158386,-712.9384418416139,712.9384418416139,508281.22185554827,9.01170411554069,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,29,9226.25,8559.32676401696,-666.9232359830403,666.9232359830403,444786.60269409005,7.228540696190948,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,30,10783.25,9687.130630744641,-1096.1193692553588,1096.1193692553588,1201477.6716567657,10.165018609921333,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,31,11818.25,11899.75620772366,81.50620772365983,81.50620772365983,6643.261897492385,0.6896639326769264,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,32,12979.0,12672.341312104118,-306.6586878958824,306.6586878958824,94039.5508620242,2.3627297010220056,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,33,14802.25,14105.642568643983,-696.6074313560166,696.6074313560166,485261.91342042736,4.706091515516532,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,34,15946.0,16414.42286754658,468.42286754657835,468.42286754657835,219419.98284055927,2.9375571776388094,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,35,17176.75,16765.279937313546,-411.4700626864542,411.4700626864542,169307.61248719454,2.395505917511838,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,36,17707.0,17783.003219306178,76.00321930617793,76.00321930617793,5776.489344902977,0.4292269684652115,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,37,17370.75,17411.489879793877,40.73987979387675,40.73987979387675,1659.7378056195273,0.23453149572616783,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,38,17279.0,16978.7434585354,-300.25654146460147,300.25654146460147,90153.99069228394,1.737696287195021,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,39,18390.5,17489.05823832628,-901.4417616737192,901.4417616737192,812597.2496894182,4.901670763020196,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,40,19882.5,19279.953113852836,-602.5468861471636,602.5468861471636,363062.75000564294,3.030538846457239,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,41,20210.5,20546.22923057737,335.7292305773699,335.7292305773699,112714.1162640728,1.6611624184320217,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
