model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_changepoint_prior_scale,param_changepoint_range,param_seasonality_mode,param_seasonality_prior_scale,info_mae,info_rmse,info_r2
prophet,with_wsi_wind,10,11846.5,12830.143060076523,983.6430600765234,983.6430600765234,967553.669636707,8.303237750185227,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,11,11822.5,11779.744577925912,-42.75542207408762,42.75542207408762,1828.0261167333788,0.36164450897907763,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,12,11933.75,10776.304338560687,-1157.445661439313,1157.445661439313,1339680.4591846887,9.698926669641503,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,13,11748.5,9355.334999484625,-2393.165000515375,2393.165000515375,5727238.719691755,20.369962127193585,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,14,11833.0,10773.928745704736,-1059.0712542952642,1059.0712542952642,1121631.9216745442,8.950150040516936,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,15,13405.25,10926.407519140783,-2478.842480859217,2478.842480859217,6144660.044912279,18.491579648700082,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,16,14577.25,12677.638844050496,-1899.6111559495039,1899.6111559495039,3608522.54380781,13.031341000176305,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,17,14957.25,13044.119302488203,-1913.1306975117968,1913.1306975117968,3660069.065761974,12.79065802544263,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,18,16896.5,14125.676267219904,-2770.823732780096,2770.823732780096,7677464.158137426,16.39880290461608,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,19,18144.75,14863.261166822684,-3281.4888331773163,3281.4888331773163,10768168.962267425,18.085059497515854,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,20,21086.0,15486.44625013572,-5599.553749864281,5599.553749864281,31355002.19761913,26.55578938566644,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,21,25233.75,16782.163758720308,-8451.586241279692,8451.586241279692,71429309.9937882,33.49318369753343,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,22,27759.75,19295.620951645855,-8464.129048354145,8464.129048354145,71641480.54719245,30.490653007866047,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,23,29930.0,23077.51791829915,-6852.482081700851,6852.482081700851,46956510.68003123,22.89502867256452,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,24,30683.0,25437.727644877188,-5245.272355122812,5245.272355122812,27512882.07941561,17.095044014995608,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,25,29967.25,26678.191117092454,-3289.058882907546,3289.058882907546,10817908.335233035,10.975511209425116,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
