model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,no_wsi_solar,10,15.5,2642.7437,2627.24365234375,2627.24365234375,6902409.208780527,16949.95903644357,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,11,950.75,2645.621,1694.87109375,1694.87109375,2872588.0244293213,178.26674664550865,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,12,5177.5,2626.8538,-2550.646240234375,2550.646240234375,6505796.242821753,49.26405099429162,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,13,10991.0,2606.3928,-8384.607177734375,8384.607177734375,70301637.5249148,76.28611753004046,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,14,16357.25,2624.6782,-13732.57177734375,13732.57177734375,188583527.61989808,83.95403736774429,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,15,19535.0,2624.7334,-16910.2666015625,16910.2666015625,285957116.53592014,86.56394472256895,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,16,19467.5,2635.9402,-16831.559814453125,16831.559814453125,283301405.7875133,86.45979100780521,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,17,16932.0,2590.6392,-14341.36083984375,14341.36083984375,205674630.73860383,84.69974509706638,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,18,12818.75,2636.3452,-10182.40478515625,10182.40478515625,103681367.2087729,79.43367945508186,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,19,6676.75,2530.552,-4146.197998046875,4146.197998046875,17190957.839007914,62.09904516479822,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,20,1359.75,2618.1416,1258.3916015625,1258.3916015625,1583549.4228830338,92.54580632860787,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,21,49.0,2616.9548,2567.954833984375,2567.954833984375,6594392.029383719,5240.724149918985,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,22,25.5,2629.798,2604.298095703125,2604.298095703125,6782368.571282923,10212.933704634634,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,23,17.75,2610.7144,2592.96435546875,2592.96435546875,6723464.14873147,14608.249881734788,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,24,17.5,2637.0022,2619.502197265625,2619.502197265625,6861791.761479437,14968.583975821522,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
