model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,with_wsi_wind,398,2024-11-05 08:00:00,1054.0,1891.3696,837.36962890625,837.36962890625,701187.8954145908,79.4468338613193,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,399,2024-11-05 09:00:00,1284.0,1901.4208,617.4207763671875,617.4207763671875,381208.41508986056,48.0857302462912,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,400,2024-11-05 10:00:00,1393.5,1889.9617,496.461669921875,496.461669921875,246474.1897016168,35.62695873113113,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,401,2024-11-05 11:00:00,1335.0,1861.6384,526.638427734375,526.638427734375,277348.0335665345,39.4485713655753,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,402,2024-11-05 12:00:00,1266.0,1874.403,608.4029541015625,608.4029541015625,370154.154559508,48.057105378890746,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,403,2024-11-05 13:00:00,1309.0,1881.8739,572.8739013671875,572.8739013671875,328184.5068676621,43.76423998188015,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,404,2024-11-05 14:00:00,1605.75,1924.5812,318.8311767578125,318.8311767578125,101653.31927277148,19.855592511650443,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,405,2024-11-05 15:00:00,2154.75,1892.7125,-262.0374755859375,262.0374755859375,68663.63861145079,12.160922407923026,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,406,2024-11-05 16:00:00,2893.0,1899.4694,-993.5306396484376,993.5306396484376,987103.1319202334,34.34257309522998,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,407,2024-11-05 17:00:00,3640.5,1881.2169,-1759.2830810546875,1759.2830810546875,3095076.959285274,48.32531468341863,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,408,2024-11-05 18:00:00,4215.5,1883.2928,-2332.2071533203125,2332.2071533203125,5439190.205998436,55.32456774557657,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,409,2024-11-05 19:00:00,4921.25,1917.6339,-3003.6160888671875,3003.6160888671875,9021709.60930182,61.03360099285921,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,410,2024-11-05 20:00:00,5565.0,1914.3967,-3650.603271484375,3650.603271484375,13326904.24577242,65.59934000858607,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,411,2024-11-05 21:00:00,6025.5,1909.6614,-4115.838623046875,4115.838623046875,16940127.570964396,68.30700561015757,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,412,2024-11-05 22:00:00,6430.25,1898.8059,-4531.444091796875,4531.444091796875,20533985.557080805,70.47072962621715,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,413,2024-11-05 23:00:00,6092.75,1866.9545,-4225.7955322265625,4225.7955322265625,17857347.880185977,69.35777000893893,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,414,2024-11-06 00:00:00,5799.25,1865.7802,-3933.469848632813,3933.469848632813,15472185.05010344,67.82721642671086,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,415,2024-11-06 01:00:00,5895.5,1883.9327,-4011.567260742188,4011.567260742188,16092671.887458578,68.04456383233625,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
