model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_cnn_filters,param_kernel_size,param_lr,param_lstm_hidden,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
cnn_lstm,no_wsi_wind,47,2024-10-21 17:00:00,7612.75,1800.9777,-5811.772338867188,5811.772338867188,33776697.71882178,76.34261388932453,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,48,2024-10-21 18:00:00,8245.0,1800.9777,-6444.022338867188,6444.022338867188,41525423.90381934,78.15672939793052,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,49,2024-10-21 19:00:00,8246.5,1800.9777,-6445.522338867188,6445.522338867188,41544758.22083594,78.16070258727183,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,50,2024-10-21 20:00:00,7949.5,1800.9777,-6148.522338867188,6148.522338867188,37804326.95154883,77.34476808427515,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,51,2024-10-21 21:00:00,7645.25,1800.9777,-5844.272338867188,5844.272338867188,34155519.170848146,76.44318156841886,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,52,2024-10-21 22:00:00,7709.5,1800.9777,-5908.522338867188,5908.522338867188,34910636.22889258,76.63950112017022,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,53,2024-10-21 23:00:00,7779.75,1800.9777,-5978.772338867188,5978.772338867188,35745718.68000342,76.8504429944343,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,54,2024-10-22 00:00:00,8389.75,1800.9777,-6588.772338867188,6588.772338867188,43411920.93342139,78.53359562393794,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,55,2024-10-22 01:00:00,8795.0,1800.9777,-6994.022338867188,6994.022338867188,48916348.47657325,79.52270993586396,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,56,2024-10-22 02:00:00,8998.5,1800.9777,-7197.522338867188,7197.522338867188,51804327.81849219,79.98580139866853,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,57,2024-10-22 03:00:00,9667.5,1800.9777,-7866.5223388671875,7866.5223388671875,61882173.707896486,81.37080257418205,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,58,2024-10-22 04:00:00,10569.0,1800.9777,-8768.022338867188,8768.022338867188,76878215.73487402,82.95981018884369,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,59,2024-10-22 05:00:00,11578.75,1800.9777,-9777.772338867188,9777.772338867188,95604831.91071633,84.44583688963611,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,60,2024-10-22 06:00:00,11580.0,1800.9777,-9779.022338867188,9779.022338867188,95629277.90406348,84.44751587960917,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,61,2024-10-22 07:00:00,9419.75,1800.9777,-7618.7723388671875,7618.7723388671875,58045691.9514878,80.8808337679779,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,62,2024-10-22 08:00:00,7602.0,1800.9777,-5801.022338867188,5801.022338867188,33651860.176036134,76.30915994290393,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,63,2024-10-22 09:00:00,6751.5,1800.9777,-4950.522338867188,4950.522338867188,24507671.42762305,73.32477729185892,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
