file,output_file,attribute,rows,missing_replaced,outliers_removed,nan_imputed,mean_imputations,median_imputations
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Sachsen-Anhalt_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Sachsen-Anhalt_aggregated.csv,temperature,8784,0,831,831,0,831
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Sachsen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Sachsen_aggregated.csv,temperature,8784,0,355,355,0,355
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Schleswig-Holstein_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Schleswig-Holstein_aggregated.csv,temperature,8784,0,503,503,0,503
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Thüringen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Thüringen_aggregated.csv,temperature,8784,0,307,307,0,307
Data\Germany_aggregation\Temp_Germany_Aggregated\Temp_Germany_aggregated.csv,Preprocessed_Data\Germany_aggregation\Temp_Germany_Aggregated\Temp_Germany_aggregated.csv,temperature,8784,0,34,34,0,34
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Baden-Württemberg_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Baden-Württemberg_aggregated.csv,cloudiness,8784,0,476,476,0,476
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Bayern_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Bayern_aggregated.csv,cloudiness,8784,0,592,592,0,592
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Berlin_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Berlin_aggregated.csv,cloudiness,8784,0,0,0,0,0
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Brandenburg_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Brandenburg_aggregated.csv,cloudiness,8784,0,0,0,0,0
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Bremen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Bremen_aggregated.csv,cloudiness,8784,0,801,801,0,801
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Hamburg_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Hamburg_aggregated.csv,cloudiness,8777,51,1168,1168,0,1168
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Hessen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Hessen_aggregated.csv,cloudiness,8784,0,593,593,0,593
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Mecklenburg-Vorpommern_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Mecklenburg-Vorpommern_aggregated.csv,cloudiness,8784,0,0,0,0,0
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Niedersachsen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Niedersachsen_aggregated.csv,cloudiness,8784,0,383,383,0,383
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Nordrhein-Westfalen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Nordrhein-Westfalen_aggregated.csv,cloudiness,8784,0,615,615,0,615
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Rheinland-Pfalz_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Rheinland-Pfalz_aggregated.csv,cloudiness,8784,0,472,472,0,472
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Saarland_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Saarland_aggregated.csv,cloudiness,8784,3,891,891,0,891
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Sachsen-Anhalt_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Sachsen-Anhalt_aggregated.csv,cloudiness,8784,0,0,0,0,0
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Sachsen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Sachsen_aggregated.csv,cloudiness,8784,0,0,0,0,0
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Schleswig-Holstein_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Schleswig-Holstein_aggregated.csv,cloudiness,8784,0,303,303,0,303
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Thüringen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Thüringen_aggregated.csv,cloudiness,8784,0,490,490,0,490
Data\Germany_aggregation\Cloudness_Germany_Aggregated\Germany_cloudiness_aggregated.csv,Preprocessed_Data\Germany_aggregation\Cloudness_Germany_Aggregated\Germany_cloudiness_aggregated.csv,cloudiness,8784,0,327,327,0,327
Data\Bundesland_aggregation\dew_point_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Baden-Wuerttemberg.csv,dew_point,542716,0,1039,2351,0,2351
Data\Bundesland_aggregation\dew_point_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Bayern.csv,dew_point,919297,0,3149,6945,0,6945
Data\Bundesland_aggregation\dew_point_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Berlin.csv,dew_point,26352,0,169,246,0,246
Data\Bundesland_aggregation\dew_point_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Brandenburg.csv,dew_point,219587,0,1408,1790,0,1790
Data\Bundesland_aggregation\dew_point_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Bremen.csv,dew_point,17568,0,36,228,0,228
Data\Bundesland_aggregation\dew_point_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Hamburg.csv,dew_point,32984,0,64,305,0,305
Data\Bundesland_aggregation\dew_point_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Hessen.csv,dew_point,306737,0,2213,3228,0,3228
Data\Bundesland_aggregation\dew_point_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Mecklenburg-Vorpommern.csv,dew_point,228218,0,275,1069,0,1069
Data\Bundesland_aggregation\dew_point_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Niedersachsen.csv,dew_point,435636,0,2218,4062,0,4062
Data\Bundesland_aggregation\dew_point_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Nordrhein-Westfalen.csv,dew_point,382726,0,3095,4826,0,4826
Data\Bundesland_aggregation\dew_point_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Rheinland-Pfalz.csv,dew_point,229806,0,1655,3535,0,3535
Data\Bundesland_aggregation\dew_point_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Saarland.csv,dew_point,60994,0,422,1039,0,1039
Data\Bundesland_aggregation\dew_point_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Sachsen-Anhalt.csv,dew_point,210816,0,1553,2457,0,2457
Data\Bundesland_aggregation\dew_point_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Sachsen.csv,dew_point,245951,0,1264,2029,0,2029
Data\Bundesland_aggregation\dew_point_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Schleswig-Holstein.csv,dew_point,236889,0,224,1136,0,1136
Data\Bundesland_aggregation\dew_point_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\dew_point_by_bundesland\Thueringen.csv,dew_point,245952,0,1710,2105,0,2105
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Baden-Wuerttemberg.csv,extreme_wind,201223,0,6778,6778,0,6778
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Bayern.csv,extreme_wind,314328,0,11004,11004,0,11004
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Berlin.csv,extreme_wind,17562,0,245,245,0,245
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Brandenburg.csv,extreme_wind,139762,0,2681,2681,0,2681
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Bremen.csv,extreme_wind,17374,0,266,266,0,266
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Hamburg.csv,extreme_wind,23972,0,370,372,0,372
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Hessen.csv,extreme_wind,104554,0,1806,1806,0,1806
