file,attribute,rows,missing_replaced,outliers_flagged,duplicates,completeness,type_errors,timestamp_errors
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Rheinland-Pfalz.csv,extreme_wind,61069,0,1711,52285,100.0,[],[]
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Saarland.csv,extreme_wind,26171,0,610,17387,100.0,[],[]
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Sachsen-Anhalt.csv,extreme_wind,113454,0,3880,104670,100.0,[],[]
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Sachsen.csv,extreme_wind,140125,0,3382,131341,100.0,[],[]
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Schleswig-Holstein.csv,extreme_wind,139856,0,2366,131072,100.0,[],[]
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Thueringen.csv,extreme_wind,87563,0,1466,78779,100.0,[],[]
Data\Germany_aggregation\extreme_wind_germany_aggregated\Germany_total.csv,extreme_wind,1817999,2,41417,1809215,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Baden-Wuerttemberg.csv,moisture,527758,0,19820,519190,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Bayern.csv,moisture,889460,0,40085,880892,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Berlin.csv,moisture,25582,0,4543,17015,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Brandenburg.csv,moisture,213306,0,29950,204738,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Bremen.csv,moisture,16924,0,535,8357,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Hamburg.csv,moisture,31312,0,4168,22528,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Hessen.csv,moisture,297070,0,32278,288502,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Mecklenburg-Vorpommern.csv,moisture,220895,0,39733,212327,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Niedersachsen.csv,moisture,422398,0,24076,413830,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Nordrhein-Westfalen.csv,moisture,370675,0,18251,362107,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Rheinland-Pfalz.csv,moisture,221794,0,5544,213226,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Saarland.csv,moisture,58666,0,1888,50098,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Sachsen-Anhalt.csv,moisture,204311,0,31461,195743,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Sachsen.csv,moisture,234054,0,15269,225486,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Schleswig-Holstein.csv,moisture,229663,0,33797,221095,100.0,[],[]
Data\Bundesland_aggregation\moisture_by_bundesland\Thueringen.csv,moisture,239152,0,20869,230584,100.0,[],[]
Data\Bundesland_aggregation\pressure_by_bundesland\Baden-Wuerttemberg.csv,pressure,175673,35783,9513,166889,93.21,[],[]
Data\Bundesland_aggregation\pressure_by_bundesland\Bayern.csv,pressure,333551,55884,23483,324767,94.42,[],[]
Data\Bundesland_aggregation\pressure_by_bundesland\Berlin.csv,pressure,17568,4,418,8784,99.99,[],[]
Data\Bundesland_aggregation\pressure_by_bundesland\Brandenburg.csv,pressure,114179,653,2594,105395,99.81,[],[]
Data\Bundesland_aggregation\pressure_by_bundesland\Bremen.csv,pressure,17568,382,262,8784,99.28,[],[]
Data\Bundesland_aggregation\pressure_by_bundesland\Hamburg.csv,pressure,24200,46,454,15416,99.94,[],[]
Data\Bundesland_aggregation\pressure_by_bundesland\Hessen.csv,pressure,105407,18371,1275,96623,94.19,[],[]
