datetime,actual,arimax_prediction,arimax_error,arimax_squared_error,sarimax_prediction,sarimax_error,sarimax_squared_error
2024-11-08 00:00:00,11.5,24715.09814396873,-24703.59814396873,610267761.2586954,830.6306375398987,-819.1306375398987,670975.0013565208
2024-11-08 01:00:00,10.75,26156.200918524526,-26145.450918524526,683584603.732975,1006.7495312111218,-995.9995312111218,992015.0661727745
2024-11-08 02:00:00,7.75,27357.555125754327,-27349.805125754327,748011840.4167377,1017.7099123512173,-1009.9599123512173,1020019.0245564786
2024-11-08 03:00:00,7.75,28680.54048666032,-28672.79048666032,822128914.2919185,1041.144446514537,-1033.394446514537,1067904.0820870865
2024-11-08 04:00:00,8.5,30633.794285756536,-30625.294285756536,937908650.0891919,997.8794815858105,-989.3794815858105,978871.7585830071
2024-11-08 05:00:00,9.0,32246.746948613785,-32237.746948613785,1039272328.3228574,1172.1743664286928,-1163.1743664286928,1352974.606716791
2024-11-08 06:00:00,50.75,33313.76304010581,-33263.01304010581,1106428036.5062494,3870.173196679696,-3819.423196679696,14587993.555334948
2024-11-08 07:00:00,715.5,35985.80180589575,-35270.30180589575,1243994189.4789732,9189.117716122322,-8473.617716122322,71802197.19898207
2024-11-08 08:00:00,2045.25,37458.82869345648,-35413.57869345648,1254121555.877635,14398.555045298426,-12353.305045298426,152604145.54219556
2024-11-08 09:00:00,3267.75,38446.73443904193,-35178.98443904193,1237560946.1623542,18096.8732373747,-14829.1232373747,219902895.9892463
2024-11-08 10:00:00,4080.5,38960.5599936801,-34880.0599936801,1216618585.162723,19393.481950057987,-15312.981950057987,234487416.2028017
2024-11-08 11:00:00,4322.5,37557.29634974245,-33234.79634974245,1104551688.408854,18203.36833841524,-13880.86833841524,192678505.82841864
2024-11-08 12:00:00,3782.0,35343.737109817564,-31561.737109817564,996143249.3892351,15145.889618217705,-11363.889618217705,129137987.25503613
2024-11-08 13:00:00,2501.5,32416.671674508136,-29915.171674508136,894917496.3152939,10734.141360979827,-8232.641360979827,67776383.77851579
2024-11-08 14:00:00,1000.25,29515.731724623125,-28515.481724623125,813132697.9873154,5686.653654760428,-4686.403654760428,21962379.2153519
