datetime,actual,arima_prediction,arima_error,sarima_prediction,sarima_error,arima_squared_error,sarima_squared_error
2024-11-06 22:00:00,6.5,5551.1671733391695,-5544.6671733391695,394.5692773926715,-388.0692773926715,30743334.063104976,150597.7640560702
2024-11-06 23:00:00,6.5,5548.564745199541,-5542.064745199541,394.49671447711466,-387.99671447711466,30714481.639983654,150541.45044503565
2024-11-07 00:00:00,6.0,5551.161361035076,-5545.161361035076,389.68710958992335,-383.68710958992335,30748814.519916378,147215.79806546986
2024-11-07 01:00:00,6.5,5548.570543915335,-5542.070543915335,384.02689875707534,-377.52689875707534,30714545.91373402,142526.559285135
2024-11-07 02:00:00,6.0,5551.155574732541,-5545.155574732541,378.13433408792304,-372.13433408792304,30748750.347987376,138483.96260706193
2024-11-07 03:00:00,8.0,5548.576316868579,-5540.576316868579,372.4735160594273,-364.4735160594273,30697985.923044987,132840.94390872162
2024-11-07 04:00:00,6.5,5551.149814381335,-5544.649814381335,373.0714404353536,-366.5714404353536,30743141.564118974,134374.62094285002
2024-11-07 05:00:00,7.25,5548.58206421212,-5541.33206421212,506.1112258788281,-498.8612258788281,30706361.045865353,248862.52268532716
2024-11-07 06:00:00,67.25,5551.144079875238,-5483.894079875238,3167.165673742448,-3099.915673742448,30073094.279290687,9609477.184314094
2024-11-07 07:00:00,802.25,5548.587786043482,-4746.337786043482,8853.077671308247,-8050.827671308247,22527722.379224144,64815826.19310257
2024-11-07 08:00:00,2165.0,5551.13837106002,-3386.1383710600203,14955.277078214333,-12790.277078214333,11465933.067965008,163591187.73749498
2024-11-07 09:00:00,3354.25,5548.593482421016,-2194.343482421016,19272.46398719947,-15918.21398719947,4815143.318843591,253389536.54227284
2024-11-07 10:00:00,4116.5,5551.132687755528,-1434.6326877555284,21113.023186680413,-16996.523186680413,2058170.9487766514,288881800.4353649
2024-11-07 11:00:00,4297.75,5548.599153389413,-1250.849153389413,20336.894338675185,-16039.144338675183,1564623.6045350113,257254151.1168562
2024-11-07 12:00:00,3813.0,5551.127029782046,-1738.1270297820456,17495.67451778539,-13682.674517785392,3021085.571658956,187215581.9596537
2024-11-07 13:00:00,2538.25,5548.604799004537,-3010.354799004537,13211.49785396771,-10673.24785396771,9062236.015889648,113918219.75222634
2024-11-07 14:00:00,1036.5,5551.121396981596,-4514.621396981596,7969.42667423511,-6932.92667423511,20381806.35808406,48065472.270320706
2024-11-07 15:00:00,120.5,5548.610419349723,-5428.110419349723,2969.8241859675163,-2849.3241859675163,29464382.724653028,8118648.316739449
2024-11-07 16:00:00,36.25,5551.115789228312,-5514.865789228312,568.4764629850074,-532.2264629850074,30413744.67320081,283265.00790153147
2024-11-07 17:00:00,21.5,5548.616014539916,-5527.116014539916,375.0021381927323,-353.5021381927323,30549011.43818361,124963.76170683358
2024-11-07 18:00:00,18.5,5551.110206426613,-5532.610206426613,366.9492628042818,-348.4492628042818,30609775.696255933,121416.88874884743
2024-11-07 19:00:00,10.75,5548.62158471467,-5537.87158471467,375.4108627747077,-364.6608627747077,30668021.688790165,132977.5448395942
2024-11-07 20:00:00,7.25,5551.104648500143,-5543.854648500143,388.6302351839768,-381.3802351839768,30734324.36369665,145450.88378898546
2024-11-07 21:00:00,7.25,5548.6271300243925,-5541.3771300243925,402.4440407712186,-395.1940407712186,30706860.497157373,156178.32986108362
2024-11-07 22:00:00,7.75,5551.099115376795,-5543.349115376795,408.89962846268975,-401.14962846268975,30728719.4149487,160921.02441575401
2024-11-07 23:00:00,9.75,5548.632650615591,-5538.882650615591,408.8257625650705,-399.0757625650705,30679221.017290395,159261.4642668925
2024-11-08 00:00:00,11.5,5551.0936069754125,-5539.5936069754125,404.0174605413744,-392.5174605413744,30687097.33044286,154069.95682984943
2024-11-08 01:00:00,10.75,5548.638146620042,-5537.888146620042,398.3559469635876,-387.6059469635876,30668205.124474764,150238.37012153948
2024-11-08 02:00:00,7.75,5551.08812319812,-5543.33812319812,392.4646849208284,-384.7146849208284,30728597.548101656,148005.38879373227
2024-11-08 03:00:00,7.75,5548.64361815064,-5540.89361815064,386.80256438447446,-379.05256438447446,30701502.08766249,143680.84656644615
2024-11-08 04:00:00,8.5,5551.082663929686,-5542.582663929686,387.4017911497348,-378.9017911497348,30720222.58649389,143566.56733647722
2024-11-08 05:00:00,9.0,5548.649065303972,-5539.649065303972,520.4402743223884,-511.4402743223884,30687711.766723167,261571.1541989599
2024-11-08 06:00:00,50.75,5551.077229042747,-5500.327229042747,3181.496024338327,-3130.746024338327,30253599.62654906,9801570.66891024
2024-11-08 07:00:00,715.5,5548.654488167493,-4833.154488167493,8867.4067198703,-8151.9067198703,23359382.306493577,66453583.16946655
2024-11-08 08:00:00,2045.25,5551.071818406107,-3505.821818406107,14969.60742869173,-12924.35742869173,12290786.622412303,167039014.9445791
2024-11-08 09:00:00,3267.75,5548.659886828107,-2280.909886828107,19286.793035879997,-16019.043035879991,5202549.911830208,256609739.78537524
2024-11-08 10:00:00,4080.5,5551.066431892823,-1470.566431892823,21127.353537039355,-17046.853537039355,2162565.6306099887,290595215.51327115
2024-11-08 11:00:00,4322.5,5548.665261379124,-1226.165261379124,20351.22338747416,-16028.72338747416,1503481.2482129356,256919973.4321611
2024-11-08 12:00:00,3782.0,5551.061069385525,-1769.0610693855251,17510.00486802589,-13728.004868025891,3129577.0672154576,188458117.65654257
2024-11-08 13:00:00,2501.5,5548.670611923648,-3047.170611923648,13225.826902885112,-10724.326902885112,9285248.738171138,115011187.51994537
2024-11-08 14:00:00,1000.25,5551.055730777776,-4550.805730777776,7983.757024357196,-6983.507024357196,20709832.79927985,48769370.359246306
2024-11-08 15:00:00,103.5,5548.675938574008,-5445.175938574008,2984.1532350033217,-2880.6532350033217,29649941.00202533,8298163.0603351025
2024-11-08 16:00:00,27.75,5551.050415971808,-5523.300415971808,582.8068129886992,-555.0568129886992,30506847.485074352,308088.0656451718
2024-11-08 17:00:00,27.75,5548.681241448175,-5520.931241448175,389.331187346922,-361.581187346922,30480681.772798482,130740.95504320989
2024-11-08 18:00:00,26.25,5551.045124874051,-5524.795124874051,381.27961268960047,-355.02961268960047,30523361.17183208,126046.02588652771
2024-11-08 19:00:00,19.0,5548.686520664886,-5529.686520664886,389.73991204726,-370.73991204726,30577433.016822938,137448.08238481008
2024-11-08 20:00:00,10.5,5551.039857390318,-5540.539857390318,402.960584950944,-392.460584950944,30697581.911330722,154025.31074003712
2024-11-08 21:00:00,11.75,5548.691776339317,-5536.941776339317,416.77309016211177,-405.02309016211177,30657724.234571587,164043.70356446612
2024-11-08 22:00:00,12.25,5551.034613422275,-5538.784613422275,423.2299781113267,-410.9799781113267,30678134.993883334,168904.5424083866
2024-11-08 23:00:00,11.0,5548.697008580576,-5537.697008580576,423.154812074283,-412.154812074283,30666088.158842262,169871.5891159875
2024-11-09 00:00:00,10.25,5551.029392866072,-5540.779392866072,418.3478100717027,-408.0978100717027,30700236.280409317,166543.82258531955
2024-11-09 01:00:00,10.0,5548.70221749149,-5538.70221749149,412.6849965910979,-402.6849965910979,30677222.254045147,162155.20647957252
2024-11-09 02:00:00,11.25,5551.024195613174,-5539.774195613174,406.79503433286976,-395.54503433286976,30689098.13838159,156455.87418539112
2024-11-09 03:00:00,13.0,5548.707403170301,-5535.707403170301,401.13161413026097,-388.13161413026097,30644056.453514483,150646.1498873618
2024-11-09 04:00:00,12.5,5551.019021552683,-5538.519021552683,401.7321404435106,-389.2321404435106,30675192.952100884,151501.65915423678
2024-11-09 05:00:00,13.75,5548.712565713367,-5534.962565713367,534.7693241864298,-521.0193241864298,30635810.603848305,271461.13617568405
2024-11-09 06:00:00,151.25,5551.013870574131,-5399.763870574131,3195.826373513859,-3044.576373513859,29157449.85795772,9269445.294158801
2024-11-09 07:00:00,1559.25,5548.717705217796,-3989.467705217796,8881.735769852572,-7322.485769852572,15915852.570975745,53618797.84969342
2024-11-09 08:00:00,3956.25,5551.008742569745,-1594.7587425697448,14983.93777774904,-11027.68777774904,2543255.4470026335,121609897.72351559
2024-11-09 09:00:00,6468.25,5548.722821783191,919.5271782168091,19301.12208598048,-12832.872085980478,845530.2314793675,164682605.97513694
2024-11-09 10:00:00,8603.75,5551.003637435554,3052.746362564446,21141.683885978466,-12537.933885978462,9319260.354150455,157199786.129167
2024-11-09 11:00:00,9632.0,5548.7279155121,4083.272084487901,20365.55243769284,-10733.552437692835,16673110.915958168,115209147.93270181
2024-11-09 12:00:00,9027.25,5550.998555071208,3476.251444928792,17524.33521684682,-8497.08521684682,12084324.108369514,72200457.18235676
2024-11-09 13:00:00,6396.25,5548.732986509284,847.5170134907157,13240.155953221954,-6843.905953221954,718285.088156222,46839048.696546905
2024-11-09 14:00:00,2560.5,5550.993495378809,-2990.493495378809,7998.087373059967,-5437.587373059967,8943051.345902966,29567356.439661194
2024-11-09 15:00:00,243.5,5548.73803488027,-5305.23803488027,2998.482285458314,-2754.982285458314,28145550.606740266,7589927.393189115
2024-11-09 16:00:00,27.0,5550.988458261325,-5523.988458261325,597.1371615733337,-570.1371615733337,30514448.48700433,325056.38300689764
2024-11-09 17:00:00,25.0,5548.743060729784,-5523.743060729784,403.66023792004,-378.66023792004,30511737.40096044,143383.5757816613
2024-11-09 18:00:00,16.0,5550.983443621177,-5534.983443621177,395.60996115612,-379.60996115612,30636041.721160542,144103.72260895092
2024-11-09 19:00:00,9.0,5548.748064160602,-5539.748064160602,404.06896273848207,-395.06896273848207,30688808.614371132,156079.48531926013
2024-11-09 20:00:00,6.5,5550.978451359412,-5544.478451359412,417.29093329937,-410.79093329937,30741241.297588866,168749.19088096745
2024-11-09 21:00:00,5.75,5548.753045273103,-5543.003045273103,431.1021409714165,-425.3521409714165,30724882.7599069,180924.44382896775
2024-11-09 22:00:00,6.0,5550.973481375637,-5544.973481375637,437.5603263416809,-431.5603263416809,30746730.90915905,186244.3152721381
2024-11-09 23:00:00,6.75,5548.758004165543,-5542.008004165543,437.48386300164896,-430.73386300164896,30713852.718234945,185531.6607363233
2024-11-10 00:00:00,5.75,5550.968533568556,-5545.218533568556,432.6781581840064,-426.9281581840064,30749448.58503221,182267.652250388
2024-11-10 01:00:00,6.0,5548.762940934805,-5542.762940934805,427.0140476365036,-421.0140476365036,30722221.019400246,177252.82830727214
2024-11-10 02:00:00,6.0,5550.963607836852,-5544.963607836852,421.1253823271445,-415.1253823271445,30746621.41223508,172329.0830522579
2024-11-10 03:00:00,6.0,5548.767855677316,-5542.767855677316,415.46066529368494,-409.46066529368494,30722275.501929715,167658.0364227471
2024-11-10 04:00:00,6.25,5550.95870408004,-5544.70870408004,416.0624883197779,-409.8124883197779,30743794.613100953,167946.27558284812
2024-11-10 05:00:00,6.75,5548.772748489787,-5542.022748489787,549.0983754678506,-542.3483754678506,30714016.144778293,294141.76037261664
2024-11-10 06:00:00,104.5,5550.953822199033,-5446.453822199033,3210.15672127214,-3105.65672127214,29663859.23734646,9645103.67038282
2024-11-10 07:00:00,1312.0,5548.777619469577,-4236.777619469577,8896.06482125197,-7584.06482125197,17950284.596838295,57518039.212951675
2024-11-10 08:00:00,3341.5,5550.948962096293,-2209.448962096293,14998.268125389355,-11656.768125389355,4881664.716108387,135880243.12909326
2024-11-10 09:00:00,5084.75,5548.782468714641,-464.03246871464125,19315.45113749783,-14230.701137497828,215326.1320214045,202512854.86478198
2024-11-10 10:00:00,6191.25,5550.944123675586,640.3058763244144,21156.014233500835,-14964.764233500837,409991.61525557627,223944168.56426588
2024-11-10 11:00:00,6334.0,5548.787296323149,785.2127036768507,20379.88148932812,-14045.88148932812,616558.9900155097,197286786.81225032
2024-11-10 12:00:00,5537.75,5550.939306841509,-13.189306841509278,17538.66556425127,-12000.91556425127,173.95781495948347,144021974.3802884
2024-11-10 13:00:00,3691.75,5548.7921023929775,-1857.0421023929773,13254.485004975148,-9562.735004975148,3448605.370060129,91445900.77537704
2024-11-10 14:00:00,1466.5,5550.934511498985,-4084.4345114989846,8012.417720346519,-6545.917720346519,16682605.27872395,42849038.801546566
2024-11-10 15:00:00,133.5,5548.796887021248,-5415.296887021248,3012.811337329397,-2879.311337329397,29325440.37458202,8290433.777273599
2024-11-10 16:00:00,18.0,5550.929737552875,-5532.929737552875,611.4675087420071,-593.4675087420071,30613311.480696924,352203.6839324443
