datetime,hour_of_day_sin,hour_of_day_cos,weekday_sin,weekday_cos,weekend,month_sin,month_cos,wind_speed,wind_direction,wind_direction_sin,wind_direction_cos,extreme_wind_speed_911,cloudiness_mean,temperature_mean,humidity_mean,pressure_station_level,precipitation_indicator,TD,solar_generation_mw,wind_generation_mw
2024-12-19 12:00:00,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,7.0125,229.0625,-0.7554247804459312,-0.6552353783856734,12.914077669902914,7.333333333333333,9.87,82.86,962.5754901960784,-1.5683760683760684,7.185825242718447,3966.75,42842.5
2024-12-19 13:00:00,-0.2588190451025208,-0.9659258262890684,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.859821428571428,236.69642857142856,-0.8357731374022634,-0.5490749154685336,12.757766990291262,7.452261306532663,9.6,82.29,962.3377450980392,-1.5961538461538465,6.654794520547945,2573.0,41904.75
2024-12-19 14:00:00,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.6571428571428575,244.50892857142856,-0.9026523612128092,-0.4303704390370462,12.560679611650484,7.42713567839196,9.12,82.11,962.353431372549,-1.5726495726495726,6.033655705996131,812.25,41921.0
2024-12-19 15:00:00,-0.7071067811865471,-0.7071067811865479,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.466071428571429,249.91071428571428,-0.9391584998874276,-0.3434840783634615,12.271844660194176,7.306532663316583,8.21,83.48,962.6872549019608,-1.5235042735042734,5.33121387283237,43.75,40814.5
2024-12-19 16:00:00,-0.8660254037844385,-0.5000000000000004,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.093303571428572,254.28571428571428,-0.962624246950012,-0.2708404681430055,11.726699029126213,7.23469387755102,7.24,85.12,963.336274509804,-3.61965811965812,4.642801556420234,11.0,39671.25
2024-12-19 17:00:00,-0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,5.825446428571429,261.91964285714283,-0.9900719050608764,-0.1405618113469187,11.182038834951456,7.082051282051282,6.34,86.48,964.1421568627452,-1.4743589743589745,3.9875478927203054,9.0,40156.25
2024-12-19 18:00:00,-1.0,-1.8369701987210287e-16,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,5.983035714285714,270.5803571428572,-0.9999487006698516,0.0101289697736486,11.613106796116506,7.005128205128205,5.62,86.95,965.3323529411764,-1.482905982905983,3.3863984674329504,8.0,40925.25
2024-12-19 19:00:00,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.154017857142857,276.74107142857144,-0.9930867610986636,0.1173826432253344,11.663592233009709,6.902061855670103,5.03,87.27,966.8279411764704,-1.4508547008547008,2.9233333333333333,7.75,42374.5
2024-12-19 20:00:00,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.3343750000000005,274.50892857142856,-0.9969050951148234,0.0786144473624599,12.035436893203885,6.740932642487047,4.63,86.76,968.403431372549,-1.4743589743589745,2.490874524714829,7.0,42215.75
2024-12-19 21:00:00,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.608482142857143,274.19642857142856,-0.9973190404572382,0.0731760311950141,12.158252427184465,6.744791666666667,4.26,86.22,969.704411764706,-3.688034188034188,2.0907869481765835,7.5,41124.25
2024-12-19 22:00:00,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.670535714285714,270.44642857142856,-0.9999696452608134,0.0077915696084248,12.014563106796116,6.880208333333333,1.91,83.38,970.7401960784314,-3.715811965811966,-0.1908382066276802,7.5,40246.25
2024-12-19 23:00:00,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.654017857142857,271.4732142857143,-0.9996694534296632,0.0257096067577564,12.044174757281551,6.853403141361256,1.68,82.88,971.6995098039216,-5.8760683760683765,-0.4664739884393064,8.0,39923.5
2024-12-20 00:00:00,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,6.477232142857143,269.50892857142856,-0.9999632708046062,-0.0085707083577619,11.795145631067962,6.81151832460733,1.51,82.72,972.5563725490196,-5.897435897435898,-0.6346228239845261,7.25,39701.0
2024-12-20 01:00:00,0.2588190451025207,0.9659258262890684,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,6.395089285714286,270.625,-0.9999405050001496,0.0109080914941819,11.488349514563106,6.791666666666667,1.39,82.15,973.4529411764704,-5.974358974358975,-0.8153696498054473,7.0,38770.0
2024-12-20 02:00:00,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,6.347767857142857,271.4732142857143,-0.9996694534296632,0.0257096067577564,11.408737864077668,6.489583333333333,1.3,81.98,974.3872549019608,-6.004273504273504,-0.82984496124031,7.0,38459.25
2024-12-20 03:00:00,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,6.247767857142857,270.7142857142857,-0.9999222924809748,0.0124663145954144,11.246116504854369,6.526041666666667,1.2,81.89,975.2323529411764,-6.021367521367521,-0.9165369649805448,7.0,38479.5
2024-12-20 04:00:00,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,6.254910714285714,270.13392857142856,-0.9999972680608958,0.0023374924052897,11.202427184466018,6.385416666666667,1.08,81.89,975.981862745098,-3.856837606837607,-0.985603112840467,7.75,38169.25
2024-12-20 05:00:00,0.9659258262890684,0.2588190451025207,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,6.158482142857143,270.75892857142856,-0.9999122756425584,0.0132454150301198,11.031067961165048,6.076142131979696,0.97,81.82,976.7906862745098,-3.905982905982906,-1.1111324376199616,7.5,39561.75
2024-12-20 06:00:00,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,5.933035714285714,271.9642857142857,-0.9994123868334654,0.0342765378040951,10.658252427184465,5.848484848484849,0.88,81.85,977.7808823529411,-3.933760683760684,-1.2127167630057802,9.0,38358.0
2024-12-20 07:00:00,0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,5.841517857142857,271.2053571428572,-0.9997787209930222,0.0210358990669888,10.393203883495143,5.717171717171717,0.8,81.95,978.7245098039216,0.3247863247863248,-1.3351562499999998,333.25,36565.0
2024-12-20 08:00:00,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,5.690178571428571,266.6517857142857,-0.99829302313198,-0.058404109153486,10.038349514563109,5.5606060606060606,0.76,81.98,979.7725490196078,0.2799145299145299,-1.341586073500967,2757.75,34306.5
2024-12-20 09:00:00,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,5.570535714285714,264.6428571428572,-0.9956320789411338,-0.0933636084529501,9.901941747572817,5.646464646464646,1.02,81.2,980.5916666666668,0.2585470085470085,-1.2740667976424362,6021.75,33847.0
2024-12-20 10:00:00,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,5.7250000000000005,265.98214285714283,-0.997542261093846,-0.0700673770864673,10.2626213592233,5.823232323232324,-0.64,77.14,981.2848039215688,0.2286324786324786,-5.155864811133201,8582.25,33082.25
2024-12-20 11:00:00,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0,-2.4492935982947064e-16,1.0,5.894642857142857,266.0267857142857,-0.9975965523224356,-0.069290106035348,10.459223300970873,5.96969696969697,1.8,77.62,981.5406862745098,0.2307692307692307,-3.0613725490196075,8891.0,33200.0
